,ano_eleicao,nome,nome_urna,numero_sequencial,numero_urna,sigla_uf_nascimento,sigla_partido,numero_partido,tipo_agremiacao,descricao_cargo,despesa_maxima_campanha,idade_data_posse,descricao_cor_raca,descricao_estado_civil,descricao_genero,descricao_grau_instrucao,descricao_nacionalidade,descricao_ocupacao,concorre_reeleicao,declara_bens,descricao_totalizacao_turno
421276,2002,GUTEMBERG JOAO DOS REIS,BERGA REIS,2521,2045.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ENGENHEIRO,,,SUPLENTE
421277,2002,PAULO CESAR BRANDAO,PAULO CESAR BRANDAO,2355,2047.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,SOLTEIRO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,APOSENTADO (EXCETO SERVIDOR PUBLICO),,,SUPLENTE
421278,2002,HILDA CARVALHEIRA DA CUNHA,HILDA CARVALHEIRA,2554,2048.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),FEMININO,MEDIO INCOMPLETO,BRASILEIRA NATA,OUTROS,,,REGISTRO NEGADO ANTES DA ELEICAO
421279,2002,RENATO COZZOLINO SOBRINHO,RENATO COZZOLINO,2545,2050.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,,,ELEITO
421280,2002,SERGIO LUIZ CARDOSO GIL,SERGIO GIL,2504,2052.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO MUNICIPAL,,,SUPLENTE
421281,2002,FERNANDO ZEFERINO ALVES,ZEFHER RAIN,2481,2054.0,RJ,PSC,20,,DEPUTADO FEDERAL,5000.0,,,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,"CORRETOR DE IMOVEIS, SEGUROS, TITULOS E VALORES",,,SUPLENTE
421282,2002,JACKSON COSTA SANTANA,JACKSON SANTANA,2495,2055.0,SP,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,MEMBRO DAS FORCAS ARMADAS,,,SUPLENTE
421283,2002,VALERIA CRISTINA CIRNE SOARES,VALERIA CIRNE,2282,2056.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,DIVORCIADO(A),FEMININO,MEDIO COMPLETO,BRASILEIRA NATA,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,,,SUPLENTE
421284,2002,JOSE MARIA LIMA,JOSE MARIA LIMA,2571,2058.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO CIVIL APOSENTADO,,,SUPLENTE
421285,2002,ALTOMIRES SOTERO  DA CUNHA,SOTERO CUNHA,2460,2059.0,RN,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,DIRETOR DE EMPRESAS,,,SUPLENTE
421286,2002,ISABEL DO CARMO DA SILVA,PROFESSORA ISABEL,2587,2060.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,DIVORCIADO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,PROFESSOR DE ENSINO SUPERIOR,,,SUPLENTE
421287,2002,EDITE MARIA PINHEIRO AZARO,EDITE MOCOTO,2453,2063.0,RJ,PSC,20,,DEPUTADO FEDERAL,5000.0,,,CASADO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,OUTROS,,,SUPLENTE
421288,2002,MARCOS VINICIUS AZEVEDO DE ANDRADE,DR MARCOS VINICIUS,2389,2066.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421289,2002,ELZA DORIGO PINHEIRO,ELZA DORIGO,2582,2068.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,VIUVO(A),FEMININO,LE E ESCREVE,BRASILEIRA NATA,APOSENTADO (EXCETO SERVIDOR PUBLICO),,,SUPLENTE
421290,2002,MAURO CESAR GAMA PERES,MAURO CESAR,2606,2069.0,RJ,PSC,20,,DEPUTADO FEDERAL,5000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO ESTADUAL,,,SUPLENTE
421291,2002,JORGE DE OLIVEIRA,ZOINHO,2379,2070.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,FUNDAMENTAL INCOMPLETO,BRASILEIRA NATA,APOSENTADO (EXCETO SERVIDOR PUBLICO),,,SUPLENTE
421292,2002,MENDELSSOHN ERWINN KIELING CADORNA PEREIRA,MENDELSSOHN KIELING,2584,2077.0,,PSC,20,,DEPUTADO FEDERAL,500000.0,,,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEMBRO DO MINISTERIO PUBLICO,,,SUPLENTE
421293,2002,NICOLA CINELLI,NICOLA CINELLI,2547,2079.0,RJ,PSC,20,,DEPUTADO FEDERAL,5000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,,,SUPLENTE
421294,2002,ERMELINDO MANOEL DO NASCIMENTO NETO,TUCA NASCIMENTO,2485,2080.0,RJ,PSC,20,,DEPUTADO FEDERAL,5000.0,,,CASADO(A),MASCULINO,LE E ESCREVE,BRASILEIRA NATA,MUSICO,,,SUPLENTE
421295,2002,MARIA LUIZA SUARES DE AVILA,MALU,2572,2085.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,SOLTEIRO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421296,2002,ERINALDO JOSE DOS SANTOS,ERINALDO SANTOS,2518,2088.0,SE,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,COMERCIARIO,,,SUPLENTE
421297,2002,PAULO ROBERTO DUARTE DE SOUZA,PAULO DUARTE,2589,2090.0,RJ,PSC,20,,DEPUTADO FEDERAL,5000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421298,2002,JOSE SANTANA BARROS,JOSE SANTANA,2557,2091.0,AM,PSC,20,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,FUNDAMENTAL COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO CIVIL APOSENTADO,,,SUPLENTE
421299,2002,GEOMAR DE PAULA MUNIZ,GEOMAR MUNIZ,2559,2098.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,NAO INFORMADO,MASCULINO,MEDIO INCOMPLETO,BRASILEIRA NATA,MILITAR REFORMADO,,,SUPLENTE
421300,2002,MARCOS ANTONIO DE ARAUJO,MARCOS ARAUJO,2384,2099.0,RJ,PSC,20,,DEPUTADO FEDERAL,500000.0,,,SOLTEIRO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,TAXISTA E MOTORISTA PARTICULAR,,,SUPLENTE
421301,2002,ALMERIO RIBEIRO BELEM,ALMERIO BELEM,1219,2121.0,RJ,PCB,21,,DEPUTADO FEDERAL,30000.0,,,SEPARADO(A) JUDICIALMENTE,MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO FEDERAL,,,NAO ELEITO
421302,2002,ELAINE MOURA,ELAINE MOURA,1167,2201.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,"ESTUDANTE,BOLSISTA, ESTAGIARIO E ASSEMELHADOS",,,SUPLENTE
421303,2002,SAINT CLAIR SILVA PEREIRA,SGT SANCLER,1118,2202.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,NAO INFORMADA,,,SUPLENTE
421304,2002,EDMUNDO SILVA GRAJAUSKAS,EDMUNDO GRAJAUSKAS,1056,2203.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,PUBLICITARIO,,,SUPLENTE
421305,2002,HILTON FELIX DE OLIVEIRA,HILTON FELIX,1073,2204.0,RJ,PL,22,,DEPUTADO FEDERAL,-1.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,,,SUPLENTE
421306,2002,EDSON TAVARES DA SILVA,EDSON TAVARES DA SILVA,1069,2205.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,NAO INFORMADO,BRASILEIRA NATA,BOMBEIRO MILITAR,,,SUPLENTE
421307,2002,RUDILEY GOMES DA SILVA,RABI,1097,2207.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,MOTORISTA DE VEICULOS DE TRANSPORTE COLETIVO DE PASSAGEIROS,,,SUPLENTE
421308,2002,FERNANDO DE PAULA LOBO JUNIOR,FERNANDO LOBO,1189,2208.0,,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,EMPRESARIO,,,SUPLENTE
421309,2002,ALMIR OLIVEIRA MOURA,PASTOR ALMIR,1116,2210.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA,,,ELEITO
421310,2002,JOSE CARLOS NUNES DE PAULA,ZE CARLOS,1052,2211.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,COMERCIANTE,,,SUPLENTE
421311,2002,IANI DE OLIVEIRA CANELA,MISSIONARIA IANI CANELA,1170,2212.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),FEMININO,MEDIO COMPLETO,BRASILEIRA NATA,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,,,SUPLENTE
421312,2002,LUCIA DOS SANTOS SANTOS,LUCIA SANTOS,1185,2213.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,NAO INFORMADO,FEMININO,MEDIO COMPLETO,BRASILEIRA NATA,"CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA",,,SUPLENTE
421313,2002,JOAO BATISTA FERNANDES MACHIQUEIRA,JOAO MACHIQUEIRA,1154,2214.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,OUTROS,,,SUPLENTE
421314,2002,CARLOS HENRIQUE ALVES GALDINO,CARLINHO NOTA 10,1076,2215.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),MASCULINO,FUNDAMENTAL COMPLETO,BRASILEIRA NATA,"CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA",,,SUPLENTE
421315,2002,MARCO ANTONIO MATTOS DE AZEVEDO,MARCO ANTONIO DE AZEVEDO,3399,2216.0,,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO INCOMPLETO,BRASILEIRA NATA,EMPRESARIO,,,SUPLENTE
421316,2002,EDUARDO HENRIQUE PEREIRA KATANA,EDUARDO KATANA,1062,2217.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,,,SUPLENTE
421317,2002,JORGE DE SOUZA,JORGE DE SOUZA,1174,2219.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,,,SUPLENTE
421318,2002,LUIZ JOSE LOUREIRO,LUIZ LOUREIRO,1148,2220.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,REPRESENTANTE COMERCIAL,,,SUPLENTE
421319,2002,ISAEL CORTAZ TEIXEIRA,PASTOR ISAEL TEIXEIRA,1091,2221.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421320,2002,CARLOS ALBERTO RODRIGUES PINTO,BISPO RODRIGUES,1168,2222.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA,,,ELEITO
421321,2002,MARCO ANTONIO ROSEIRO LEITE,MARCO LEITE,1162,2223.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,VIUVO(A),MASCULINO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,EMPRESARIO,,,SUPLENTE
421322,2002,MAIZA LIMA GIMENEZ,DRA MAIZA GIMENEZ,1155,2224.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,DIVORCIADO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421323,2002,ORLANDO SOARES DO ROSARIO FILHO,ORLANDO ROSARIO,1085,2225.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,OUTROS,,,SUPLENTE
421324,2002,LILIAM SA DE PAULA,LILIAM SA,1156,2226.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,"SENADOR, DEPUTADO E VEREADOR",,,
421325,2002,LUIZ ANTONIO BRAGA COSTA,DR LUIZ ANTONIO COSTA,3435,2227.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEDICO,,,SUPLENTE
421326,2002,HYDEKEL MENEZES FREITAS LIMA,HYDEKEL FREITAS,1143,2228.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,DIVORCIADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421327,2002,SEVERINO ALEXANDRE BEZERRA,SEVERINO BACALHAU,1101,2230.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,FUNDAMENTAL COMPLETO,BRASILEIRA NATA,EMPRESARIO,,,SUPLENTE
421328,2002,NELSON FRANCISCO DOS SANTOS,NELSON FRANCISCO,1127,2231.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SEPARADO(A) JUDICIALMENTE,MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421329,2002,LUCIO ARACATI FOURNIER DE LIMA,ARACATI,1065,2232.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,OUTROS,,,SUPLENTE
421330,2002,PAULO AFONSO CUNHA,CORONEL PAULO AFONSO,1059,2233.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,POLICIAL MILITAR,,,SUPLENTE
421331,2002,MARILENE TEIXEIRA VIEIRA,MARILENE VIEIRA,1152,2234.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,CANTOR E COMPOSITOR,,,SUPLENTE
421332,2002,MANOEL ROMUALDO,MANOEL ROMUALDO,1125,2237.0,RN,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,CONTADOR,,,SUPLENTE
421333,2002,ITAGIBE DO COUTO CABRAL,ITAGIBE CABRAL,1172,2240.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,COMERCIANTE,,,SUPLENTE
421334,2002,SOLANGE CIAVAGLIA,SOLANGE CIAVAGLIA,1160,2242.0,,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,PROFESSOR DE ENSINO DE PRIMEIRO E SEGUNDO GRAUS,,,SUPLENTE
421335,2002,LUIZ ALBERTO ALMEIDA MONTEIRO,LUIZ ALBERTO ALMEIDA MONTEIRO,1079,2243.0,CE,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,JORNALISTA E REDATOR,,,REGISTRO NEGADO ANTES DA ELEICAO
421336,2002,SANDRO AUGUSTO BASTO RIBEIRO,SANDRO RIBEIRO (BOI),1184,2244.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,TABELIAO,,,SUPLENTE
421337,2002,NAILTA VIEIRA DA SILVA MONTEIRO,NAZINHA,1190,2247.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),FEMININO,LE E ESCREVE,BRASILEIRA NATA,"CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA",,,SUPLENTE
421338,2002,JOSIMAR JOSE DA SILVA,MAZINHO,1186,2249.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO ESTADUAL,,,SUPLENTE
421339,2002,CARLOS ALBERTO ALMEIDA DA SILVA,DR. CARLOS,1201,2250.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421340,2002,RONALDO CASE RAMOS,RONALDO CASE,1165,2251.0,BA,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),MASCULINO,FUNDAMENTAL COMPLETO,BRASILEIRA NATA,AGENTE DE VIAGEM E GUIA DE TURISMO,,,SUPLENTE
421341,2002,LUIZ RAFAEL D'OLIVEIRA MUSSI,MUSSI,1151,2252.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,NAO INFORMADA,,,SUPLENTE
421342,2002,REGINA CELIA DA SILVA,REGINA DA SILVA,1158,2253.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),FEMININO,FUNDAMENTAL COMPLETO,BRASILEIRA NATA,DESPACHANTE,,,SUPLENTE
421343,2002,PAULO FERNANDO PINTO DE MELO,DIPAULO,1145,2255.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,COMERCIANTE,,,SUPLENTE
421344,2002,JOSE FERNANDES DE AZEVEDO NETO,J.NETO,1054,2256.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,COMERCIANTE,,,SUPLENTE
421345,2002,ROBERVAL ROMULO ARAUJO COSTA,MINHO,1178,2257.0,,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,OUTROS,,,SUPLENTE
421346,2002,KLEBER BATISTA ALVES,KLEBER BATISTA,1071,2258.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO ESTADUAL,,,SUPLENTE
421347,2002,WALDEMAR SANTANA FRANCA,ROBERTO FRANCA,1083,2260.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SACERDOTE OU MEMBRO DE ORDEM OU SEITA RELIGIOSA,,,SUPLENTE
421348,2002,WELIGTON TEIXEIRA DE AZEREDO,WELINGTON TEIXEIRA,1169,2262.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,NAO INFORMADA,,,SUPLENTE
421349,2002,ANTONIO LAPROVITA,PR. ANTONIO LAPROVITA,1123,2264.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,NAO INFORMADA,"TECNICO DE ELETRICIDADE, ELETRONICA E TELECOMUNICACOES",,,SUPLENTE
421350,2002,PAULO PEREIRA GUIMARAES,DR. PAULO GUIMARAES,1107,2265.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO ESTADUAL,,,SUPLENTE
421351,2002,LAIOR PINA SERVINO,PINA,1020,2266.0,,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,SERVIDOR PUBLICO FEDERAL,,,SUPLENTE
421352,2002,MARIA DE LOURDES ROSA DO NASCIMENTO,PSICOLOGA LOURDES ROSA,1182,2267.0,,PL,22,,DEPUTADO FEDERAL,1000000.0,,,SOLTEIRO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,PSICOLOGO,,,SUPLENTE
421353,2002,MARINARA PEREIRA DA COSTA,MARINARA,1173,2270.0,RN,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),FEMININO,SUPERIOR INCOMPLETO,BRASILEIRA NATA,POLICIAL CIVIL,,,SUPLENTE
421354,2002,SERGIO LUIZ AMORIM DA SILVA,PRESBITERO SERGIO AMORIM,1114,2272.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,VIGILANTE,,,
421355,2002,HILSON RODRIGUES BARCELOS,KOOKUM,1064,2275.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,COMERCIANTE,,,SUPLENTE
421356,2002,REGINALDO DALTRO FILHO,DOUTOR REGINALDO DALTRO,1181,2277.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEDICO,,,SUPLENTE
421357,2002,VITOR TRAVASSOS,DOUTOR  VITOR TRAVASSOS,1177,2279.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEDICO,,,SUPLENTE
421358,2002,FRANCISCO DE SOUZA DANTAS,CHICO DANTAS,1061,2280.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,MEDIO COMPLETO,BRASILEIRA NATA,COMERCIANTE,,,SUPLENTE
421359,2002,JORGE DE OLIVEIRA BARBOSA,JORGE BARBOSA URBANITARIO,1696,2285.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ELETRICISTA E ASSEMELHADOS,,,SUPLENTE
421360,2002,NELSON ROBERTO BORNIER DE OLIVEIRA,NELSON BORNIER,1113,2288.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,NAO INFORMADA,,,ELEITO
421361,2002,REINALDO GRIPP LOPES,REINALDO GRIPP,1095,2290.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEDICO,,,SUPLENTE
421362,2002,LUCILIA DA SILVA AZEVEDO,PASTORA LUCILIA,1188,2295.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,VIUVO(A),FEMININO,FUNDAMENTAL COMPLETO,BRASILEIRA NATA,"CABELEIREIRO, BARBEIRO, MANICURE, MAQUILADOR, ESTETICISTA E MASSAGISTA",,,SUPLENTE
421363,2002,JOSE ANTONIO VIEIRA NICOLAU,NICOLAU,1161,2299.0,RJ,PL,22,,DEPUTADO FEDERAL,1000000.0,,,NAO INFORMADO,MASCULINO,NAO INFORMADO,BRASILEIRA NATA,EMPRESARIO,,,SUPLENTE
421364,2002,LAURO CALDEIRA CONSTANTINO,LAURO CALDEIRA CONSTANTINO,1961,2309.0,,PPS,23,,DEPUTADO FEDERAL,550000.0,,,SEPARADO(A) JUDICIALMENTE,MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,SUPLENTE
421365,2002,MARCIA PEREIRA CHEREGHINI DE PAULA,PASTORA MARCIA CHEREGHINI,2141,2310.0,SP,PPS,23,,DEPUTADO FEDERAL,550000.0,,,CASADO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,PEDAGOGO,,,SUPLENTE
421366,2002,JOAO JOSE TAVARES DE PINHO,JOAO JOSE PINHO,2247,2312.0,RS,PPS,23,,DEPUTADO FEDERAL,550000.0,,,CASADO(A),MASCULINO,MEDIO INCOMPLETO,BRASILEIRA NATA,DESENHISTA,,,SUPLENTE
421367,2002,LUCIA REGINA FLORENTINO SOUTO,LUCIA SOUTO,3235,2323.0,RJ,PPS,23,,DEPUTADO FEDERAL,550000.0,,,DIVORCIADO(A),FEMININO,SUPERIOR COMPLETO,BRASILEIRA NATA,MEDICO,,,SUPLENTE
421368,2002,ALMIR PORTO DE OLIVEIRA,CORONEL ALMIR PORTO,3273,2332.0,RJ,PPS,23,,DEPUTADO FEDERAL,550000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,MILITAR REFORMADO,,,REGISTRO NEGADO ANTES DA ELEICAO
421369,2002,NEWTON BAPTISTA CORDEIRO,NEWTON CORDEIRO,1959,2333.0,RJ,PPS,23,,DEPUTADO FEDERAL,500000.0,,,CASADO(A),MASCULINO,SUPERIOR COMPLETO,BRASILEIRA NATA,ADVOGADO,,,
